number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,1 to 50,"123,671",1 to 200000,9001 to 12000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Kiryana,No,4.5
51 to 100,1 to 50,"22,523",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"23,645",1 to 200000,9001 to 12000,100k - 300k,Owned,545+,9 to 12,More than 5000,0,Bakery,No,4.7
1 to 50,1 to 50,"88,726",1 to 200000,12001 to 20000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Kiryana,No,4.8
1 to 50,101 to 200,"393,358",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,9 to 12,More than 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"33,248",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,3.8
1 to 50,51 to 100,"171,626",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,9 to 12,More than 5000,0,General Store,No,3.5
51 to 100,201 to 300,"1,158,979",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,General Store,No,6.2
51 to 100,1 to 50,"24,273",1 to 200000,12001 to 20000,100k - 300k,Rented,136 - 271,9 to 12,More than 5000,25000+,Bakery,No,3.8
1 to 50,1 to 50,"10,805",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,3.8
1 to 50,101 to 200,"260,843",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Super Store,No,4.3
1 to 50,51 to 100,"524,203",500001 to 1000000,20000+,100k - 300k,Owned,545+,9 to 12,More than 5000,0,General Store,No,6.1
1 to 50,1 to 50,"1,506,698",1000001 to 2000000,20000+,100k - 300k,Owned,409 - 544,9 to 12,More than 5000,0,General Store,No,6.3
1 to 50,101 to 200,"294,233",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,4.2
1 to 50,101 to 200,"545,630",500001 to 1000000,6001 to 9000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,10001 to 15000,Kiryana,No,4.4
1 to 50,51 to 100,"468,119",200001 to 500000,12001 to 20000,100k - 300k,Owned,545+,9 to 12,More than 5000,0,Super Store,No,5.4
1 to 50,1 to 50,"21,757",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,9 to 12,Less than 2000,0,Kiryana,No,3.5
101 to 200,51 to 100,"171,023",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,2000 - 5000,0,Kiryana,No,4.5
