number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,1 to 50,"3,026",1 to 200000,1 to 3000,300K - 500K,Owned,136 - 271,Less than 1 Year,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,101 to 200,"1,023,309",500001 to 1000000,12001 to 20000,500K+,Owned,409 - 544,Less than 1 Year,More than 5000,0,Wholesale,No,6.5
1 to 50,1 to 50,"43,799",1 to 200000,3001 to 6000,300K - 500K,Rented,272 - 408,Less than 1 Year,More than 5000,5001 to 10000,Kiryana,No,3.5
1 to 50,1 to 50,"133,068",1 to 200000,6001 to 9000,100K - 300K,Owned,136 - 271,Less than 1 Year,More than 5000,0,General Store,No,3.8
1 to 50,1 to 50,"5,790",1 to 200000,3001 to 6000,500K+,Owned,545+,Less than 1 Year,More than 5000,0,Super Store,No,4.8
1 to 50,101 to 200,"215,837",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,Less than 1 Year,More than 5000,5001 to 10000,Kiryana,No,2.8
1 to 50,101 to 200,"212,551",200001 to 500000,6001 to 9000,100K - 300K,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,General Store,No,4.2
1 to 50,51 to 100,"7,929,024",3000000+,20000+,500K+,Rented,272 - 408,Less than 1 Year,More than 5000,20000 to 25000,General Store,No,6.8
1 to 50,51 to 100,"68,580",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,1 to 5000,Kiryana,No,3.1
101 to 200,1 to 50,"30,244",1 to 200000,3001 to 6000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"440,004",200001 to 500000,20000+,500K+,Rented,272 - 408,Less than 1 Year,More than 5000,25000+,Wholesale,No,5.1
1 to 50,1 to 50,"787,570",500001 to 1000000,20000+,500K+,Rented,409 - 544,Less than 1 Year,More than 5000,25000+,Wholesale,No,5.6
1 to 50,1 to 50,"101,566",1 to 200000,20000+,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Bakery,No,5.3
51 to 100,101 to 200,"36,667",1 to 200000,3001 to 6000,300K - 500K,Owned,272 - 408,Less than 1 Year,More than 5000,0,Kiryana,No,4.4
1 to 50,101 to 200,"298,875",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,Bakery,No,3.9
1 to 50,501 to 1000,"516,063",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.3
1 to 50,51 to 100,"161,745",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,3.6
51 to 100,1 to 50,"19,551",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,301 to 400,"225,803",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,1 to 3,More than 5000,0,General Store,No,4.1
1 to 50,51 to 100,"375,990",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,1 to 3,2000 - 5000,0,General Store,No,4.1
51 to 100,1 to 50,"6,695",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,1 to 50,"40,866",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,Less than 2000,0,General Store,No,3.4
1 to 50,101 to 200,"116,403",1 to 200000,6001 to 9000,100k - 300k ,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,Kiryana,No,2.7
1 to 50,501 to 1000,"687,864",500001 to 1000000,6001 to 9000,Less than 100k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Kiryana,No,3.8
1 to 50,1 to 50,"17,069",1 to 200000,3001 to 6000,Less than 100k,Rented,545+,1 to 3,2000 - 5000,10001 to 15000,Kiryana,No,2.9
1 to 50,51 to 100,"222,757",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3
51 to 100,101 to 200,"536,223",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,4.4
51 to 100,1 to 50,"15,166",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.2
51 to 100,101 to 200,"332,868",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,15001 to 20000,General Store,No,3.8
1 to 50,1 to 50,"5,733",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,2000 - 5000,10001 to 15000,Kiryana,No,3
1 to 50,1 to 50,"4,595",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,10001 to 15000,Super Store,No,3.1
1 to 50,101 to 200,"149,234",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.5
51 to 100,101 to 200,"407,476",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Super Store,No,4.2
1 to 50,301 to 400,"755,041",500001 to 1000000,6001 to 9000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,1 to 5000,Bakery,No,4.4
1 to 50,301 to 400,"744,963",500001 to 1000000,6001 to 9000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,Kiryana,No,3.9
1 to 50,51 to 100,"241,993",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,4.1
1 to 50,1 to 50,"3,150",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,101 to 200,"185,292",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,101 to 200,"259,353",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,3.9
1 to 50,1 to 50,"10,429",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,25000+,Kiryana,No,2.8
1 to 50,1 to 50,"31,528",1 to 200000,1 to 3000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,15001 to 20000,Super Store,No,2.8
1 to 50,1 to 50,"42,623",1 to 200000,6001 to 9000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,General Store,No,3.3
1 to 50,1 to 50,"83,895",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,1 to 3,More than 5000,0,Super Store,No,4.2
1 to 50,201 to 300,"86,104",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,3
1 to 50,1 to 50,"134,037",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Wholesale,No,3.6
1 to 50,1 to 50,"101,387",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Wholesale,No,3.7
1 to 50,101 to 200,"61,582",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
1 to 50,101 to 200,"94,453",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,1 to 3,Less than 2000,0,Kiryana,No,3.5
1 to 50,51 to 100,"133,388",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.6
51 to 100,51 to 100,"162,069",1 to 200000,9001 to 12000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,Kiryana,No,4
1 to 50,1 to 50,"10,698",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.1
1 to 50,1 to 50,"41,203",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,5001 to 10000,Super Store,No,3
1 to 50,51 to 100,"185,676",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,1 to 3,2000 - 5000,0,Super Store,No,3.5
1 to 50,101 to 200,"205,028",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"214,512",1 to 200000,9001 to 12000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,Kiryana,No,3.6
51 to 100,301 to 400,"494,130",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.6
1 to 50,1 to 50,"33,997",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,4.1
1 to 50,51 to 100,"146,813",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,More than 5000,25000+,Bakery,No,2.3
1 to 50,51 to 100,"149,956",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,3
1 to 50,51 to 100,"50,250",1 to 200000,1 to 3000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Super Store,No,3.1
1 to 50,1 to 50,"111,352",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,Kiryana,No,3.1
1 to 50,501 to 1000,"682,315",500001 to 1000000,6001 to 9000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,10001 to 15000,General Store,No,3.8
1 to 50,51 to 100,"110,565",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Drug Store,No,3.6
1 to 50,51 to 100,"68,504",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,3.5
1 to 50,1 to 50,"8,035",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
101 to 200,51 to 100,"96,106",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Super Store,No,3.6
1 to 50,101 to 200,"371,132",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Super Store,No,4.3
51 to 100,1 to 50,"48,028",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,3.6
1 to 50,1 to 50,"9,069",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
1 to 50,101 to 200,"220,953",200001 to 500000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,5001 to 10000,Kiryana,No,2.9
1 to 50,51 to 100,"85,417",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,Super Store,No,3.2
1 to 50,401 to 500,"1,296,975",1000001 to 2000000,6001 to 9000,100k - 300k ,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,4.3
1 to 50,101 to 200,"303,722",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,Kiryana,No,4.4
51 to 100,101 to 200,"366,714",200001 to 500000,6001 to 9000,100k - 300k,Rented,409 - 544,1 to 3,2000 - 5000,10001 to 15000,General Store,No,3.9
 ,1 to 50,"43,367",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,5001 to 10000,Super Store,No,3
1 to 50,101 to 200,"184,934",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"36,709",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,51 to 100,"129,467",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,3.1
1 to 50,101 to 200,"458,717",200001 to 500000,9001 to 12000,100k - 300k,Rented,136 - 271,1 to 3,Less than 2000,15001 to 20000,Super Store,No,3.7
1 to 50,101 to 200,"423,473",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.9
1 to 50, , , , ,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,General Store,No,2.5
1 to 50,101 to 200,"183,781",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.9
1 to 50,1 to 50,"30,399",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,2.9
1 to 50,1 to 50,"55,066",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,General Store,No,2.9
1 to 50,51 to 100,"127,138",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,PanShop / Juice Corner / Canteen,No,3.5
1 to 50,1 to 50,"7,148",1 to 200000,6001 to 9000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,10001 to 15000,Bakery,No,3.1
1 to 50,1 to 50,"16,052",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,101 to 200,"177,942",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,Super Store,No,4.5
1 to 50,51 to 100,"124,812",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,Super Store,No,3.2
101 to 200,1 to 50,"33,148",1 to 200000,3001 to 6000, , , , , , , ,No,1.2
1 to 50,101 to 200,"223,481",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Wholesale,No,3.8
1 to 50,101 to 200,"200,203",1 to 200000,3001 to 6000,Less than 100k,Owned,545+,1 to 3,Less than 2000,0,Kiryana,No,3.7
1 to 50,51 to 100,"166,743",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.9
1 to 50,1 to 50,"29,714",1 to 200000,12001 to 20000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,General Store,No,4.8
1 to 50,1 to 50,"102,088",1 to 200000,6001 to 9000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,10001 to 15000,General Store,No,2.7
1 to 50,501 to 1000,"877,233",500001 to 1000000,6001 to 9000,Less than 100k,Owned,409 - 544,1 to 3,Less than 2000,0,Kiryana,No,4.4
51 to 100,51 to 100,"94,802",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,Bakery,No,3.1
1 to 50,51 to 100,"64,793",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,3.6
51 to 100,1 to 50,"6,271",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,1 to 5000,PanShop / Juice Corner / Canteen,No,2.7
1 to 50,1 to 50,"33,756",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,1 to 50,"7,375",1 to 200000,3001 to 6000,Less than 100k,Rented,409 - 544,1 to 3,2000 - 5000,5001 to 10000,Kiryana,No,2.9
1 to 50,1 to 50,"127,055",1 to 200000,9001 to 12000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,15001 to 20000,Kiryana,No,3.4
1 to 50,201 to 300,"260,614",200001 to 500000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,3.3
1 to 50,1 to 50,"6,326",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.8
1 to 50,501 to 1000,"852,832",500001 to 1000000,9001 to 12000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,4.8
1 to 50,1 to 50,"10,988",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,4
51 to 100,1 to 50,"26,237",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,1 to 50,"64,494",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,15001 to 20000,General Store,No,2.8
1 to 50,1 to 50,"75,255",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,3.7
1 to 50,1 to 50,"3,873",1 to 200000,1 to 3000,Less than 100k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3
1 to 50,101 to 200,"102,071",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,3
1 to 50,1 to 50,"51,233",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,15001 to 20000,Kiryana,No,2.9
1 to 50,201 to 300,"342,080",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.1
51 to 100,1 to 50,"15,858",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,Super Store,No,3.3
1 to 50,1 to 50,"39,855",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.8
1 to 50,51 to 100,"119,606",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,More than 5000,10001 to 15000,General Store,No,2.7
1 to 50,51 to 100,"51,793",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,3.7
101 to 200,1 to 50,"20,448",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,1 to 50,"14,077",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.9
51 to 100,301 to 400,"780,139",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,5.1
1 to 50,51 to 100,"108,213",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,1 to 50,"12,788",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,1 to 50,"146,228",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,General Store,No,3.1
1 to 50,401 to 500,"1,021,628",500001 to 1000000,6001 to 9000,100k - 300k ,Rented,272 - 408,1 to 3,More than 5000,10001 to 15000,Super Store,No,3.5
1 to 50,51 to 100,"109,035",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,1 to 5000,Kiryana,No,2.7
1 to 50,201 to 300,"440,947",200001 to 500000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,General Store,No,3.2
51 to 100,1 to 50,"6,466",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,51 to 100,"208,545",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,Kiryana,No,3.9
1 to 50,1 to 50,"20,294",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Wholesale,No,3.7
1 to 50,1 to 50,"5,070",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,General Store,No,3.5
51 to 100,1 to 50,"12,634",1 to 200000,1 to 3000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.5
1 to 50,51 to 100,"139,395",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,3.7
1 to 50,201 to 300,"533,399",500001 to 1000000,6001 to 9000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,General Store,No,3.8
1 to 50,201 to 300,"148,594",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,Super Store,No,3.9
1 to 50,101 to 200,"281,801",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,2000 - 5000,15001 to 20000,General Store,No,3.2
1 to 50,51 to 100,"238,031",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,Super Store,No,4.3
101 to 200,101 to 200,"206,987",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,4
51 to 100,51 to 100,"127,599",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,10001 to 15000,Bakery,No,2.6
1 to 50,1 to 50,"15,234",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,10001 to 15000,Bakery,No,2.3
1 to 50,1 to 50,"40,110",1 to 200000,3001 to 6000,100k - 300k,Owned,,1 to 3,More than 5000,0,General Store,No,3.4
1 to 50,1 to 50,"22,108",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"13,253",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
51 to 100,201 to 300,"485,471",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.3
1 to 50,101 to 200,"355,016",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,Kiryana,No,4
1 to 50,101 to 200,"438,436",200001 to 500000,9001 to 12000,Less than 100k,Owned,Less than 136,1 to 3,More than 5000,0,Super Store,No,4.3
1 to 50,101 to 200,"371,927",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,1 to 3,More than 5000,0,Kiryana,No,4.3
1 to 50,51 to 100,"224,936",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,Kiryana,No,3.1
1 to 50,1 to 50,"49,921",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,4.2
51 to 100,101 to 200,"506,298",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,1 to 3,More than 5000,0,General Store,No,4.5
1 to 50,101 to 200,"190,444",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,1 to 3,More than 5000,1 to 5000,Kiryana,No,3.2
1 to 50,1 to 50,"19,877",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
51 to 100,1 to 50,"3,725",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,1 to 50,"98,268",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,20000 to 25000,General Store,No,2.7
1 to 50,51 to 100,"49,542",1 to 200000,9001 to 12000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,Kiryana,No,4.3
1 to 50,101 to 200,"319,884",200001 to 500000,3001 to 6000,Less than 100k,Rented,136 - 271,1 to 3,2000 - 5000,5001 to 10000,General Store,No,3
1 to 50,51 to 100,"166,208",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,2000 - 5000,0,General Store,No,3.5
1 to 50,51 to 100,"159,055",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,More than 5000,15001 to 20000,General Store,No,2.5
1 to 50,301 to 400,"503,320",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.4
1 to 50,1 to 50,"42,976",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,1 to 3,More than 5000,0,General Store,No,3.8
51 to 100,1 to 50,"4,145",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,51 to 100,"232,025",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,1 to 3,More than 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"98,254",1 to 200000,9001 to 12000,Less than 100k,Rented,Less than 136,1 to 3,2000 - 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.3
51 to 100,1 to 50,"46,202",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,1 to 3,Less than 2000,10001 to 15000,General Store,No,2.5
51 to 100,1 to 50,"47,084",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,1 to 3,Less than 2000,0,General Store,No,3.5
1 to 50,1 to 50,"91,271",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,1 to 3,2000 - 5000,0,General Store,No,3.8
